Common Fish Name,CB's Recommended Fish Food,Temperament,Coral Safety,Grows To,Starting Tank Size,Lifespan,Sand Substrate Required,Feeding Difficulty,Feeding Times per Day,Typical Color,Community Suitability,Temperature Range,Salinity Range,Water PH,Water Alkalinity Recommendation,Water Flow Preference,Origin,Scientific Name,QR,SKU
Tang Clown (Small),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Peaceful,Reef Safe,10 Inches,55 Gallon,10-20 Years,No,Moderate,2-3,Blue-black body with bold yellow and blue horizontal stripes,Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,High,Indo-Pacific,Acanthurus lineatus,https://bubba751.github.io/Saltwater-HTML-Files/Tang Clown (Small).html,3178440
Tang Convict (Large),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Peaceful,Reef Safe,9 Inches,55 Gallon,10-20 Years,No,Easy,2-3,White/silver body with black vertical bars,"Peaceful Community, tolerates small groups better than most tangs",76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Acanthurus triostegus,https://bubba751.github.io/Saltwater-HTML-Files/Tang Convict (Large).html,TA10
Tang Convict (Medium),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Peaceful,Reef Safe,9 Inches,55 Gallon,10-20 Years,No,Easy,2-3,White/silver body with black vertical bars,"Peaceful Community, tolerates small groups better than most tangs",76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Acanthurus triostegus,https://bubba751.github.io/Saltwater-HTML-Files/Tang Convict (Medium).html,A709013
Tang Convict (Small),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Peaceful,Reef Safe,9 Inches,55 Gallon,10-20 Years,No,Easy,2-3,White/silver body with black vertical bars,"Peaceful Community, tolerates small groups better than most tangs",76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Acanthurus triostegus,https://bubba751.github.io/Saltwater-HTML-Files/Tang Convict (Small).html,Q313799
Tang Desjardini Sailfin (Large),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Semi-Aggressive,Reef Safe,15 Inches,55 Gallon,10-20 Years,No,Easy,2-3,"Gray-brown body with fine striping, large sail-like dorsal fin",Semi-Aggressive Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indian Ocean,Zebrasoma desjardinii,https://bubba751.github.io/Saltwater-HTML-Files/Tang Desjardini Sailfin (Large).html,TA11
Tang Desjardini Sailfin (Medium),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Semi-Aggressive,Reef Safe,15 Inches,55 Gallon,10-20 Years,No,Easy,2-3,"Gray-brown body with fine striping, large sail-like dorsal fin",Semi-Aggressive Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indian Ocean,Zebrasoma desjardinii,https://bubba751.github.io/Saltwater-HTML-Files/Tang Desjardini Sailfin (Medium).html,253620C
Tang Desjardini Sailfin (Small),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Semi-Aggressive,Reef Safe,15 Inches,55 Gallon,10-20 Years,No,Easy,2-3,"Gray-brown body with fine striping, large sail-like dorsal fin",Semi-Aggressive Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indian Ocean,Zebrasoma desjardinii,https://bubba751.github.io/Saltwater-HTML-Files/Tang Desjardini Sailfin (Small).html,1189907
Tang Eibli (Large),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Peaceful,Reef Safe,8 Inches,55 Gallon,10-20 Years,No,Moderate,2-3,Gray body with orange belly patch and blue spotting,Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indian Ocean,Ctenochaetus eibli (Blue-spotted Bristletooth),https://bubba751.github.io/Saltwater-HTML-Files/Tang Eibli (Large).html,TA12
Tang Eibli (Medium),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Peaceful,Reef Safe,8 Inches,55 Gallon,10-20 Years,No,Moderate,2-3,Gray body with orange belly patch and blue spotting,Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indian Ocean,Ctenochaetus eibli (Blue-spotted Bristletooth),https://bubba751.github.io/Saltwater-HTML-Files/Tang Eibli (Medium).html,D264240
Tang Eibli (Small),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Peaceful,Reef Safe,8 Inches,55 Gallon,10-20 Years,No,Moderate,2-3,Gray body with orange belly patch and blue spotting,Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indian Ocean,Ctenochaetus eibli (Blue-spotted Bristletooth),https://bubba751.github.io/Saltwater-HTML-Files/Tang Eibli (Small).html,640340T
Tang Gemmatum (Large),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Peaceful,Reef Safe,10 Inches,55 Gallon,10-20 Years,No,Easy,2-3,Dark body covered in fine gold/white spots,Semi-Aggressive Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate-High,Western Indian Ocean,Zebrasoma gemmatum (Gem/Spotted Tang),https://bubba751.github.io/Saltwater-HTML-Files/Tang Gemmatum (Large).html,TA13
Tang Gemmatum (Medium),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Peaceful,Reef Safe,10 Inches,55 Gallon,10-20 Years,No,Easy,2-3,Dark body covered in fine gold/white spots,Semi-Aggressive Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate-High,Western Indian Ocean,Zebrasoma gemmatum (Gem/Spotted Tang),https://bubba751.github.io/Saltwater-HTML-Files/Tang Gemmatum (Medium).html,1566700
Tang Gemmatum (Small),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Peaceful,Reef Safe,10 Inches,55 Gallon,10-20 Years,No,Easy,2-3,Dark body covered in fine gold/white spots,Semi-Aggressive Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate-High,Western Indian Ocean,Zebrasoma gemmatum (Gem/Spotted Tang),https://bubba751.github.io/Saltwater-HTML-Files/Tang Gemmatum (Small).html,9971894
Tang Gold Rim (Large),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Semi-Aggressive,Reef Safe,10 Inches,55 Gallon,10-20 Years,No,Moderate,2-3,Black-brown body with gold-yellow rim around fins and tail,Semi-Aggressive Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate-High,Indo-Pacific,Acanthurus nigricans (Gold-rim Tang),https://bubba751.github.io/Saltwater-HTML-Files/Tang Gold Rim (Large).html,TA15
Tang Gold Rim (Medium),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Semi-Aggressive,Reef Safe,10 Inches,55 Gallon,10-20 Years,No,Moderate,2-3,Black-brown body with gold-yellow rim around fins and tail,Semi-Aggressive Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate-High,Indo-Pacific,Acanthurus nigricans (Gold-rim Tang),https://bubba751.github.io/Saltwater-HTML-Files/Tang Gold Rim (Medium).html,203436C
Tang Gold Rim (Small),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Semi-Aggressive,Reef Safe,10 Inches,55 Gallon,10-20 Years,No,Moderate,2-3,Black-brown body with gold-yellow rim around fins and tail,Semi-Aggressive Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate-High,Indo-Pacific,Acanthurus nigricans (Gold-rim Tang),https://bubba751.github.io/Saltwater-HTML-Files/Tang Gold Rim (Small).html,122084P
Tang Hybrid Blue Gold (Large),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Peaceful,Reef Safe,10 Inches,29 Gallon,10-20 Years,No,Moderate,2-3,Blue-gray body blended with gold patching,Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate-High,Indo-Pacific (hybrid zone),Acanthurus sp. (Blue/Gold hybrid tang),https://bubba751.github.io/Saltwater-HTML-Files/Tang Hybrid Blue Gold (Large).html,TA16
Tang Hybrid Blue Gold (Medium),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Peaceful,Reef Safe,10 Inches,29 Gallon,10-20 Years,No,Moderate,2-3,Blue-gray body blended with gold patching,Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate-High,Indo-Pacific (hybrid zone),Acanthurus sp. (Blue/Gold hybrid tang),https://bubba751.github.io/Saltwater-HTML-Files/Tang Hybrid Blue Gold (Medium).html,4186626
Tang Hybrid Blue Gold (Small),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Peaceful,Reef Safe,10 Inches,29 Gallon,10-20 Years,No,Moderate,2-3,Blue-gray body blended with gold patching,Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate-High,Indo-Pacific (hybrid zone),Acanthurus sp. (Blue/Gold hybrid tang),https://bubba751.github.io/Saltwater-HTML-Files/Tang Hybrid Blue Gold (Small).html,3736243
Tang Lieutenant (Large),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Peaceful,Reef Safe,10 Inches,29 Gallon,10-20 Years,No,Easy,2-3,"A sleek, slate-gray or tan body accented by two dark vertical bars behind the gills",Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate-High,Indo-Pacific,Acanthurus tennenti,https://github.com/Bubba751/Saltwater-HTML-Files/blob/main/Tang%20Lieutenant%20(Large).html,B057634
Tang Lieutenant (Medium),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Peaceful,Reef Safe,10 Inches,29 Gallon,10-20 Years,No,Easy,2-3,"A sleek, slate-gray or tan body accented by two dark vertical bars behind the gills",Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate-High,Indo-Pacific,Acanthurus tennenti,https://github.com/Bubba751/Saltwater-HTML-Files/blob/main/Tang%20Lieutenant%20(Medium).html,251336P
Tang Lieutenant (Small),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Peaceful,Reef Safe,10 Inches,29 Gallon,10-20 Years,No,Easy,2-3,"A sleek, slate-gray or tan body accented by two dark vertical bars behind the gills",Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate-High,Indo-Pacific,Acanthurus tennenti,https://github.com/Bubba751/Saltwater-HTML-Files/blob/main/Tang%20Lieutenant%20(Small).html,990615A
Tang Mimic (Large),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Peaceful,Reef Safe,6 Inches,55 Gallon,10-20 Years,No,Easy,2-3,"Yellow as juvenile (mimicking pygmy angels), grays/browns as adult",Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,"Acanthurus pyroferus (Mimic Tang, juvenile mimics Centropyge angels)",https://bubba751.github.io/Saltwater-HTML-Files/Tang Mimic (Large).html,TA17
Tang Mimic (Medium),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Peaceful,Reef Safe,6 Inches,55 Gallon,10-20 Years,No,Easy,2-3,"Yellow as juvenile (mimicking pygmy angels), grays/browns as adult",Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,"Acanthurus pyroferus (Mimic Tang, juvenile mimics Centropyge angels)",https://bubba751.github.io/Saltwater-HTML-Files/Tang Mimic (Medium).html,548757M
Tang Mimic (Small),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Peaceful,Reef Safe,6 Inches,55 Gallon,10-20 Years,No,Easy,2-3,"Yellow as juvenile (mimicking pygmy angels), grays/browns as adult",Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,"Acanthurus pyroferus (Mimic Tang, juvenile mimics Centropyge angels)",https://bubba751.github.io/Saltwater-HTML-Files/Tang Mimic (Small).html,F847593
Tang Naso (Extra Large),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Peaceful,Reef Safe,15 Inches,55 Gallon,10-20 Years,No,Easy,2-3,"Olive-brown body, orange highlights, distinctive tail streamers",Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate-High,Indo-Pacific,Naso lituratus / Naso spp.,https://bubba751.github.io/Saltwater-HTML-Files/Tang Naso (Extra Large).html,TA23
Tang Naso (Large),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Peaceful,Reef Safe,15 Inches,55 Gallon,10-20 Years,No,Easy,2-3,"Olive-brown body, orange highlights, distinctive tail streamers",Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate-High,Indo-Pacific,Naso lituratus / Naso spp.,https://bubba751.github.io/Saltwater-HTML-Files/Tang Naso (Large).html,TA22
Tang Naso (Medium),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Peaceful,Reef Safe,15 Inches,55 Gallon,10-20 Years,No,Easy,2-3,"Olive-brown body, orange highlights, distinctive tail streamers",Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate-High,Indo-Pacific,Naso lituratus / Naso spp.,https://bubba751.github.io/Saltwater-HTML-Files/Tang Naso (Medium).html,TA21
Tang Naso (Small),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Peaceful,Reef Safe,15 Inches,55 Gallon,10-20 Years,No,Easy,2-3,"Olive-brown body, orange highlights, distinctive tail streamers",Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate-High,Indo-Pacific,Naso lituratus / Naso spp.,https://bubba751.github.io/Saltwater-HTML-Files/Tang Naso (Small).html,9729105
Tang Naso Blonde (Extra Large),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Peaceful,Reef Safe,15 Inches,55 Gallon,10-20 Years,No,Easy,2-3,Gray-brown body with a yellow/blonde dorsal patch,Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate-High,Indian Ocean,Naso elegans (Blonde variant),https://bubba751.github.io/Saltwater-HTML-Files/Tang Naso Blonde (Extra Large).html,TA20
Tang Naso Blonde (Large),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Peaceful,Reef Safe,15 Inches,55 Gallon,10-20 Years,No,Easy,2-3,Gray-brown body with a yellow/blonde dorsal patch,Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate-High,Indian Ocean,Naso elegans (Blonde variant),https://bubba751.github.io/Saltwater-HTML-Files/Tang Naso Blonde (Large).html,TA19
Tang Naso Blonde (Medium),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Peaceful,Reef Safe,15 Inches,55 Gallon,10-20 Years,No,Easy,2-3,Gray-brown body with a yellow/blonde dorsal patch,Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate-High,Indian Ocean,Naso elegans (Blonde variant),https://bubba751.github.io/Saltwater-HTML-Files/Tang Naso Blonde (Medium).html,TA18
Tang Naso Blonde (Small),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Peaceful,Reef Safe,15 Inches,55 Gallon,10-20 Years,No,Easy,2-3,Gray-brown body with a yellow/blonde dorsal patch,Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate-High,Indian Ocean,Naso elegans (Blonde variant),https://bubba751.github.io/Saltwater-HTML-Files/Tang Naso Blonde (Small).html,C667011
Tang Orange Shoulder (Large),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Semi-Aggressive,Reef Safe,12 Inches,55 Gallon,10-20 Years,No,Easy,2-3,Gray-blue body with a bold orange shoulder patch,Semi-Aggressive Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate-High,Indo-Pacific,Acanthurus olivaceus,https://bubba751.github.io/Saltwater-HTML-Files/Tang Orange Shoulder (Large).html,TA24
Tang Orange Shoulder (Medium),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Semi-Aggressive,Reef Safe,12 Inches,55 Gallon,10-20 Years,No,Easy,2-3,Gray-blue body with a bold orange shoulder patch,Semi-Aggressive Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate-High,Indo-Pacific,Acanthurus olivaceus,https://bubba751.github.io/Saltwater-HTML-Files/Tang Orange Shoulder (Medium).html,F785983
Tang Orange Shoulder (Small),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Semi-Aggressive,Reef Safe,12 Inches,55 Gallon,10-20 Years,No,Easy,2-3,Gray-blue body with a bold orange shoulder patch,Semi-Aggressive Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate-High,Indo-Pacific,Acanthurus olivaceus,https://bubba751.github.io/Saltwater-HTML-Files/Tang Orange Shoulder (Small).html,334373Z
Tang Powder Blue (Large),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Semi-Aggressive,Reef Safe,8 Inches,55 Gallon,8-15 Years,No,Moderate,2-3,"Powder blue body, black face mask, yellow dorsal fin",Semi-Aggressive Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,High,Indian Ocean,Acanthurus leucosternon,https://bubba751.github.io/Saltwater-HTML-Files/Tang Powder Blue (Large).html,TA27
Tang Powder Blue (Medium),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Semi-Aggressive,Reef Safe,8 Inches,55 Gallon,8-15 Years,No,Moderate,2-3,"Powder blue body, black face mask, yellow dorsal fin",Semi-Aggressive Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,High,Indian Ocean,Acanthurus leucosternon,https://bubba751.github.io/Saltwater-HTML-Files/Tang Powder Blue (Medium).html,TA26
Tang Powder Blue (Small),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Semi-Aggressive,Reef Safe,8 Inches,55 Gallon,8-15 Years,No,Moderate,2-3,"Powder blue body, black face mask, yellow dorsal fin",Semi-Aggressive Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,High,Indian Ocean,Acanthurus leucosternon,https://bubba751.github.io/Saltwater-HTML-Files/Tang Powder Blue (Small).html,TA25
Tang Powder Brown (Large),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Semi-Aggressive,Reef Safe,6 Inches,55 Gallon,8-15 Years,No,Moderate,2-3,"Brown body, black face mask, yellow accents near tail",Semi-Aggressive Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate-High,Western Pacific,Acanthurus japonicus,https://bubba751.github.io/Saltwater-HTML-Files/Tang Powder Brown (Large).html,TA29
Tang Powder Brown (Medium),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Semi-Aggressive,Reef Safe,6 Inches,55 Gallon,8-15 Years,No,Moderate,2-3,"Brown body, black face mask, yellow accents near tail",Semi-Aggressive Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate-High,Western Pacific,Acanthurus japonicus,https://bubba751.github.io/Saltwater-HTML-Files/Tang Powder Brown (Medium).html,TA28
Tang Powder Brown (Small),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Semi-Aggressive,Reef Safe,6 Inches,55 Gallon,8-15 Years,No,Moderate,2-3,"Brown body, black face mask, yellow accents near tail",Semi-Aggressive Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate-High,Western Pacific,Acanthurus japonicus,https://bubba751.github.io/Saltwater-HTML-Files/Tang Powder Brown (Small).html,C267302
Tang Purple (Large),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Peaceful,Reef Safe,8 Inches,55 Gallon,10-20 Years,No,Easy,2-3,"Deep purple-blue body, yellow tail",Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,"Red Sea, Indian Ocean",Zebrasoma xanthurum,https://bubba751.github.io/Saltwater-HTML-Files/Tang Purple (Large).html,TA31
Tang Purple (Medium),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Peaceful,Reef Safe,8 Inches,55 Gallon,10-20 Years,No,Easy,2-3,"Deep purple-blue body, yellow tail",Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,"Red Sea, Indian Ocean",Zebrasoma xanthurum,https://bubba751.github.io/Saltwater-HTML-Files/Tang Purple (Medium).html,Z352455
Tang Purple (Small),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Peaceful,Reef Safe,8 Inches,55 Gallon,10-20 Years,No,Easy,2-3,"Deep purple-blue body, yellow tail",Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,"Red Sea, Indian Ocean",Zebrasoma xanthurum,https://bubba751.github.io/Saltwater-HTML-Files/Tang Purple (Small).html,TA30
Tang Sailfin (Large),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Peaceful,Reef Safe,12 Inches,55 Gallon,10-20 Years,No,Easy,2-3,"Brown-gray body with fine vertical striping, large sail-like dorsal fin",Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Zebrasoma veliferum,https://bubba751.github.io/Saltwater-HTML-Files/Tang Sailfin (Large).html,TA34
Tang Sailfin (Medium),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Peaceful,Reef Safe,12 Inches,55 Gallon,10-20 Years,No,Easy,2-3,"Brown-gray body with fine vertical striping, large sail-like dorsal fin",Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Zebrasoma veliferum,https://bubba751.github.io/Saltwater-HTML-Files/Tang Sailfin (Medium).html,TA33
Tang Sailfin (Small),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Peaceful,Reef Safe,12 Inches,55 Gallon,10-20 Years,No,Easy,2-3,"Brown-gray body with fine vertical striping, large sail-like dorsal fin",Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Zebrasoma veliferum,https://bubba751.github.io/Saltwater-HTML-Files/Tang Sailfin (Small).html,TA32
Tang Scopus (Large),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Peaceful,Reef Safe,12 Inches,55 Gallon,10-20 Years,No,Easy,2-3,"Gray-brown body, blue highlights on face/fins as adult",Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate-High,Indo-Pacific,Naso brevirostris / Naso vlamingii type (Scopus/Vlamingii tang),https://bubba751.github.io/Saltwater-HTML-Files/Tang Scopus (Large).html,TA38
Tang Scopus (Medium),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Peaceful,Reef Safe,12 Inches,55 Gallon,10-20 Years,No,Easy,2-3,"Gray-brown body, blue highlights on face/fins as adult",Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate-High,Indo-Pacific,Naso brevirostris / Naso vlamingii type (Scopus/Vlamingii tang),https://bubba751.github.io/Saltwater-HTML-Files/Tang Scopus (Medium).html,542966R
Tang Scopus (Small),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Peaceful,Reef Safe,12 Inches,55 Gallon,10-20 Years,No,Easy,2-3,"Gray-brown body, blue highlights on face/fins as adult",Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate-High,Indo-Pacific,Naso brevirostris / Naso vlamingii type (Scopus/Vlamingii tang),https://bubba751.github.io/Saltwater-HTML-Files/Tang Scopus (Small).html,D488094
Tang Sohal (Large),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Semi-Aggressive,Reef Safe,15 Inches,55 Gallon,10-20 Years,No,Easy,2-3,Blue-gray body with bold horizontal orange and blue striping,Semi-Aggressive Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,High,Red Sea,Acanthurus sohal,https://bubba751.github.io/Saltwater-HTML-Files/Tang Sohal (Large).html,TA39
Tang Sohal (Medium),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Semi-Aggressive,Reef Safe,15 Inches,55 Gallon,10-20 Years,No,Easy,2-3,Blue-gray body with bold horizontal orange and blue striping,Semi-Aggressive Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,High,Red Sea,Acanthurus sohal,https://bubba751.github.io/Saltwater-HTML-Files/Tang Sohal (Medium).html,3631211
Tang Sohal (Small),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Semi-Aggressive,Reef Safe,15 Inches,55 Gallon,10-20 Years,No,Easy,2-3,Blue-gray body with bold horizontal orange and blue striping,Semi-Aggressive Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,High,Red Sea,Acanthurus sohal,https://bubba751.github.io/Saltwater-HTML-Files/Tang Sohal (Small).html,205606Z
Tang Tomini (Large),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Peaceful,Reef Safe,7 Inches,55 Gallon,10-20 Years,No,Easy,2-3,"Brown/tan body with fine gold striping, white tail base",Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Hawaii/Pacific,Ctenochaetus strigosus (white-tail variant),https://bubba751.github.io/Saltwater-HTML-Files/Tang Tomini (Large).html,901362P
Tang Tomini (Medium),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Peaceful,Reef Safe,7 Inches,55 Gallon,10-20 Years,No,Easy,2-3,"Brown/tan body with fine gold striping, white tail base",Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Hawaii/Pacific,Ctenochaetus strigosus (white-tail variant),https://bubba751.github.io/Saltwater-HTML-Files/Tang Tomini (Medium).html,TA41
Tang Tomini (Small),"Marine Cuisine, Emerald Entree, Beta Brine, Ocean Nutrician Seaweed",Peaceful,Reef Safe,7 Inches,55 Gallon,10-20 Years,No,Easy,2-3,"Brown/tan body with fine gold striping, white tail base",Peaceful Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Hawaii/Pacific,Ctenochaetus strigosus (white-tail variant),https://bubba751.github.io/Saltwater-HTML-Files/Tang Tomini (Small).html,TA40
